2024-06-17 13:44:56,820 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:56,828 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:56,828 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:56,839 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:56,839 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:56,848 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:56,848 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:56,857 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:56,857 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:56,865 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:56,865 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:56,877 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:56,877 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:56,886 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:56,886 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:56,894 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:56,894 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:56,902 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:56,902 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:56,914 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:56,914 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:56,923 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:56,923 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:56,930 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:56,930 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:56,938 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:56,938 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:56,949 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:56,949 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:56,957 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:56,957 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:56,965 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:56,965 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:56,972 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:56,972 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:56,983 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:56,983 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:56,991 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:56,991 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:56,999 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:56,999 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:57,007 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:57,007 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:57,018 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:57,018 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:57,026 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:57,026 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:57,034 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:57,034 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:57,041 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:57,041 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:57,053 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:57,053 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:57,060 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:57,060 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:57,068 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:57,068 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:57,076 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:57,076 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:57,087 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:57,087 [DEBUG]  STREAM b'IDAT' 41 65536
2024-06-17 13:44:57,094 [DEBUG]  STREAM b'IHDR' 16 13
2024-06-17 13:44:57,094 [DEBUG]  STREAM b'IDAT' 41 65536
