2024-06-26 12:32:52,264 [INFO]  starting up 24-06-26-1232_P10 at 2.83909358328674
2024-06-26 12:32:52,295 [INFO]  git SHA: 8af92f34e134a6ceed92bd239ef1fb2946bf34ac
2024-06-26 12:32:52,295 [INFO]  Configuration file: config/m2/10.json
2024-06-26 12:32:52,297 [INFO]  parameters {'reward_info': {'-4': {'desc': 'pattern_1', 'image': 'images[0]'}, '-3': {'desc': 'pattern_2', 'image': 'images[1]'}, '-2': {'desc': 'pattern_3', 'image': 'images[2]'}, '-1': {'desc': 'pattern_4', 'image': 'images[3]'}, '0': {'desc': 'pattern_5', 'image': 'images[4]'}, '1': {'desc': 'pattern_6', 'image': 'images[5]'}, '2': {'desc': 'pattern_7', 'image': 'images[6]'}, '3': {'desc': 'pattern_8', 'image': 'images[7]'}, '4': {'desc': 'pattern_9', 'image': 'images[8]'}}, 'images': ['pattern_1.png', 'pattern_2.png', 'pattern_3.png', 'pattern_4.png', 'pattern_5.png', 'pattern_6.png', 'pattern_7.png', 'pattern_8.png', 'pattern_9.png'], 'points_per_cent': 1, 'revealed': True, 'layout': [[0.0, 0.5], [-0.27032040872779883, 0.4206267664155905], [-0.4548159976772592, 0.20770750650094316], [-0.4949107209404664, -0.07115741913664247], [-0.3778747871771292, -0.3274303669726425], [-0.14086627842071486, -0.4797464868072487], [0.14086627842071464, -0.47974648680724874], [0.37787478717712886, -0.32743036697264283], [0.4949107209404664, -0.07115741913664264], [0.4548159976772592, 0.20770750650094305], [0.27032040872779883, 0.4206267664155906]]}
2024-06-26 12:32:53,455 [INFO]  Setting up window with size: (1350, 750) and full_screen: True
2024-06-26 12:32:53,455 [INFO]  Created window with size [3840 2160]
2024-06-26 12:32:53,507 [INFO]  begin intro
2024-06-26 12:32:53,508 [DEBUG]  message: Welcome! (None)
2024-06-26 12:33:00,734 [INFO]  begin trial {"kind": "GraphTrial", "graph": [[1, 3], [2, 4], [3, 5], [4, 6], [5, 7], [6, 8], [7, 9], [8, 10], [], [], []], "rewards": [null, null, null, null, null, null, null, null, null, null, null], "reward_info": {"-4": {"desc": "pattern_1", "image": "images[0]"}, "-3": {"desc": "pattern_2", "image": "images[1]"}, "-2": {"desc": "pattern_3", "image": "images[2]"}, "-1": {"desc": "pattern_4", "image": "images[3]"}, "0": {"desc": "pattern_5", "image": "images[4]"}, "1": {"desc": "pattern_6", "image": "images[5]"}, "2": {"desc": "pattern_7", "image": "images[6]"}, "3": {"desc": "pattern_8", "image": "images[7]"}, "4": {"desc": "pattern_9", "image": "images[8]"}}, "initial_stage": "acting", "hide_states": false, "hide_rewards_while_acting": false, "hide_edges_while_acting": false, "gaze_contingent": false, "gaze_tolerance": 1.5, "fixation_lag": 0.5, "start": 0}
2024-06-26 12:33:00,734 [DEBUG]  GraphTrial.log 11.309 show graph 
2024-06-26 12:33:00,782 [DEBUG]  message: In this experiment, you will play a game on the board shown to the right. (None)
2024-06-26 12:33:07,848 [DEBUG]  GraphTrial.log 18.423 visit state = 0
2024-06-26 12:33:07,849 [DEBUG]  message: Your current location on the board is highlighted in blue. (None)
2024-06-26 12:33:10,563 [DEBUG]  message: The goal of the game is to collect as many points as you can. (None)
2024-06-26 12:33:14,625 [DEBUG]  message: Before we start, let's learn all the buttons you need in this game .  (None)
2024-06-26 12:33:17,264 [DEBUG]  message: Key F should be under your left index finger which you can switch the line you select.  (Press Key F to continue)
2024-06-26 12:33:52,433 [DEBUG]  message: Key J should be under your right index finger which to confirm your choice.  (Press Key J to continue)
2024-06-26 12:33:58,689 [DEBUG]  message: Now, let's try to play one roundPress Key F and Key J to move.  (None)
2024-06-26 12:33:58,700 [DEBUG]  GraphTrial.log 69.275 begin space 
2024-06-26 12:34:05,144 [DEBUG]  GraphTrial.log 75.719 initialize status = ok
2024-06-26 12:34:05,144 [DEBUG]  GraphTrial.log 75.719 show graph 
2024-06-26 12:34:05,152 [DEBUG]  GraphTrial.log 75.726 start flip_time = 75.72611737495754
2024-06-26 12:34:05,161 [DEBUG]  GraphTrial.log 75.736 get move selected = 1
